channel_id,spacecraft,train_points,test_points,metadata_num_values,length_matches_metadata,labeled_events,event_hits,event_recall,predicted_points,max_score,scale,scale_source,precision,recall,f1,true_positives,false_positives,false_negatives
M-3,MSL,2037,2127,2127,True,1,1,1.0,1165,66438.58725014095,3.6488487237379295e-05,mad,0.1742489270386266,0.8087649402390438,0.2867231638418079,203,962,48
M-4,MSL,2076,2038,2038,True,1,1,1.0,1074,71829.02262488173,3.2457904167539604e-05,mad,0.2132216014897579,0.9123505976095617,0.34566037735849053,229,845,22
M-5,MSL,2032,2303,2303,True,1,1,1.0,1007,24.245277822257798,0.08641631212977981,mad,0.2214498510427011,0.7408637873754153,0.3409785932721713,223,784,78
P-15,MSL,3682,2856,2856,True,1,1,1.0,1580,50.696144295301885,0.03843486274207604,mad,0.008860759493670886,0.6666666666666666,0.017489069331667707,14,1566,7
C-1,MSL,2158,2264,2264,True,2,1,0.5,228,7.542136363636361,0.24169980883742398,mad,0.21929824561403508,0.16025641025641027,0.18518518518518517,50,178,262
C-2,MSL,764,2051,2051,True,2,2,1.0,1583,1348999999.9999998,1.4825796886582654e-09,epsilon-floor,0.08022741629816804,0.927007299270073,0.14767441860465116,127,1456,10
T-12,MSL,1145,2430,2430,True,1,0,0.0,0,2.9275202329859003,0.3966516255405584,mad,0.0,0.0,0.0,0,0,121
T-13,MSL,1145,2430,2430,True,2,0,0.0,0,2.6786805030145717,0.46715684667807805,mad,0.0,0.0,0.0,0,0,252
F-4,MSL,2244,3422,3422,True,1,1,1.0,428,6.527183175033923,0.3366566471915705,mad,0.11448598130841121,0.6901408450704225,0.1963927855711423,49,379,22
F-5,MSL,2598,3922,3922,True,1,1,1.0,731,28.638394542772886,0.26364132048305,mad,0.11627906976744186,0.5629139072847682,0.1927437641723356,85,646,66
D-14,MSL,3675,2625,2625,True,2,2,1.0,186,1349000000.0,1.4825796886582654e-09,epsilon-floor,1.0,0.8378378378378378,0.911764705882353,186,0,36
T-9,MSL,439,1096,1096,True,2,2,1.0,24,6.596492757325905,0.20212829659418824,std-fallback,0.8333333333333334,0.17857142857142858,0.29411764705882354,20,4,92
P-14,MSL,2880,6100,6100,True,1,1,1.0,6100,24275.929499986505,8.236553825883831e-05,mad,0.029672131147540984,1.0,0.05763413469192804,181,5919,0
T-8,MSL,748,1519,1519,True,2,2,1.0,25,10.802744649149142,0.18695321501432743,std-fallback,0.24,0.058823529411764705,0.09448818897637794,6,19,96
P-11,MSL,3969,3535,3535,True,2,2,1.0,308,24.224232207478806,0.07811730142038999,mad,0.41883116883116883,0.5657894736842105,0.4813432835820895,129,179,99
D-15,MSL,2074,2158,2158,True,1,1,1.0,295,18.768506451612865,0.1063395889597555,mad,0.33220338983050846,0.15288611544461778,0.20940170940170938,98,197,543
D-16,MSL,1451,2191,2191,True,1,0,0.0,0,2.412330878329411,0.829073663968121,std-fallback,0.0,0.0,0.0,0,0,651
M-7,MSL,1587,2156,2156,True,1,1,1.0,56,17.06147880530448,0.11717017047063638,std-fallback,0.8928571428571429,0.49504950495049505,0.6369426751592357,50,6,51
F-8,MSL,3342,2487,2487,True,1,1,1.0,40,4.671577257518455,0.4932697671601877,std-fallback,0.75,0.055865921787709494,0.10398613518197572,30,10,507
