channel_id,spacecraft,train_points,test_points,metadata_num_values,length_matches_metadata,labeled_events,event_hits,event_recall,predicted_points,max_score,precision,recall,f1,true_positives,false_positives,false_negatives
P-1,SMAP,2872,8505,8505,True,3,3,1.0,338,5.215092587351624,0.0650887573964497,0.02929427430093209,0.04040404040404041,22,316,729
S-1,SMAP,2818,7331,7331,True,1,1,1.0,2011,41.64470028702519,0.14917951268025859,0.6696428571428571,0.2440016266775112,300,1711,148
E-1,SMAP,2880,8516,8516,True,2,2,1.0,1885,1348999999.9999998,0.1506631299734748,0.5590551181102362,0.23735896364396158,284,1601,224
E-2,SMAP,2880,8532,8532,True,1,1,1.0,174,4.129887301152511,1.0,0.12446351931330472,0.2213740458015267,174,0,1224
E-3,SMAP,2880,8307,8307,True,1,0,0.0,0,2.2016890886110523,0.0,0.0,0.0,0,0,3213
E-4,SMAP,2880,8354,8354,True,1,0,0.0,3,3.6870772487896777,0.0,0.0,0.0,0,3,2812
E-5,SMAP,2880,8294,8294,True,1,1,1.0,1673,1349000000.0,0.03705917513448894,0.19314641744548286,0.062186559679037114,62,1611,259
E-6,SMAP,2880,8300,8300,True,1,1,1.0,8300,1342255000.0,0.007951807228915662,1.0,0.01577814965335883,66,8234,0
E-7,SMAP,2769,8310,8310,True,1,1,1.0,2929,1348999999.9999998,0.048822123591669514,0.5088967971530249,0.08909657320872275,143,2786,138
E-8,SMAP,2880,8532,8532,True,1,0,0.0,0,2.6172690194302914,0.0,0.0,0.0,0,0,623
E-9,SMAP,2880,8302,8302,True,1,0,0.0,0,1.9900556824448317,0.0,0.0,0.0,0,0,351
E-10,SMAP,2880,8505,8505,True,2,2,1.0,1893,1349000000.0,0.1410459587955626,0.8291925465838509,0.24108352144469522,267,1626,55
E-11,SMAP,2880,8514,8514,True,2,2,1.0,1891,1348999999.9999993,0.13907985193019567,0.8915254237288136,0.2406221408966148,263,1628,32
E-12,SMAP,2880,8512,8512,True,2,2,1.0,1891,1349000000.0,0.16287678476996298,0.5283018867924528,0.24898949070331447,308,1583,275
E-13,SMAP,2880,8640,8640,True,3,3,1.0,1584,19.68841871535891,0.034722222222222224,0.20833333333333334,0.05952380952380953,55,1529,209
A-1,SMAP,2880,8640,8640,True,1,1,1.0,8640,1348325500.0,0.009837962962962963,1.0,0.019484240687679084,85,8555,0
D-1,SMAP,2849,8509,8509,True,1,1,1.0,2902,22.936204275534426,1.0,0.8904571954587297,0.9420548612238273,2902,0,357
P-2,SMAP,2821,8209,8209,True,1,1,1.0,626,59.35659268335563,0.8785942492012779,0.44861337683523655,0.593952483801296,550,76,676
P-3,SMAP,2855,8493,8493,True,1,1,1.0,219,7.756815907756881,1.0,0.16392215568862276,0.28167202572347266,219,0,1117
D-2,SMAP,2880,8595,8595,True,1,1,1.0,3805,1349000000.0,1.0,0.9020862968231389,0.948522996385392,3805,0,413
D-3,SMAP,2880,8640,8640,True,1,1,1.0,3318,176.55551158661484,0.9581072935503315,0.9703907203907204,0.9642098877767667,3179,139,97
D-4,SMAP,2833,8473,8473,True,1,1,1.0,3232,156.37158333333753,1.0,0.9950738916256158,0.9975308641975309,3232,0,16
A-2,SMAP,2648,7914,7914,True,1,0,0.0,0,1.0963257374945878,0.0,0.0,0.0,0,0,111
A-3,SMAP,2736,8205,8205,True,1,0,0.0,0,1.7041367968362313,0.0,0.0,0.0,0,0,186
A-4,SMAP,2690,8080,8080,True,1,0,0.0,0,2.3552432333894493,0.0,0.0,0.0,0,0,111
G-1,SMAP,2820,8469,8469,True,1,0,0.0,0,1.9149663956846643,0.0,0.0,0.0,0,0,121
G-2,SMAP,2478,7361,7361,True,1,1,1.0,1,1349000000.0,1.0,0.024390243902439025,0.047619047619047616,1,0,40
D-5,SMAP,2561,7628,7628,True,1,1,1.0,7624,7102.59741666829,0.006164742917103882,0.9215686274509803,0.01224755700325733,47,7577,4
D-6,SMAP,2594,7884,7884,True,1,0,0.0,0,2.1165344827586208,0.0,0.0,0.0,0,0,81
D-7,SMAP,2583,7642,7642,True,1,1,1.0,2604,1349000000.0,1.0,0.9637305699481865,0.9815303430079156,2604,0,98
F-1,SMAP,2869,8584,8584,True,1,1,1.0,2047,90.04767035253145,0.010258915486077186,0.2079207920792079,0.019553072625698324,21,2026,80
P-4,SMAP,2609,7783,7783,True,3,3,1.0,15,1349000000.0,1.0,0.033860045146726865,0.06550218340611355,15,0,428
