timestamp_utc,timestamp_epoch_s,system_cpu_percent,system_memory_used_bytes,system_memory_percent,ollama_rss_bytes,ollama_cpu_percent_normalized,gpu_utilization_percent,gpu_memory_used_mib,gpu_memory_total_mib,gpu_power_watts
2026-09-10T15:37:14.965745+00:00,1789054634.9344423,0.0,17521098752,51.2,57536512,0.0,,,,
2026-09-10T15:37:15.493227+00:00,1789054635.471447,26.4,17594314752,51.4,61108224,0.9698859700258232,,,,
2026-09-10T15:37:16.025766+00:00,1789054636.005735,23.3,17574236160,51.4,61169664,0.0,,,,
2026-09-10T15:37:16.551440+00:00,1789054636.5312052,32.7,17617940480,51.5,61222912,0.0,,,,
2026-09-10T15:37:17.102633+00:00,1789054637.0668135,34.4,17614721024,51.5,61267968,0.0,,,,
2026-09-10T15:37:17.633881+00:00,1789054637.6078799,22.8,17615622144,51.5,61341696,0.0,,,,
2026-09-10T15:37:18.179227+00:00,1789054638.1477072,23.9,17698205696,51.7,61407232,0.0,,,,
2026-09-10T15:37:18.712138+00:00,1789054638.6911392,24.1,17925537792,52.4,61460480,0.0,,,,
2026-09-10T15:37:19.240947+00:00,1789054639.215802,16.7,18119229440,53.0,61464576,0.0,,,,
2026-09-10T15:37:19.771333+00:00,1789054639.7523077,21.8,18346098688,53.6,61554688,0.0,,,,
2026-09-10T15:37:20.296333+00:00,1789054640.2728753,20.2,18615336960,54.4,61616128,0.0,,,,
2026-09-10T15:37:20.815573+00:00,1789054640.7968986,23.6,18999013376,55.5,61681664,0.0,,,,
2026-09-10T15:37:21.340918+00:00,1789054641.3189795,27.6,19386011648,56.7,61706240,0.0,,,,
2026-09-10T15:37:21.870515+00:00,1789054641.8508239,40.1,19798777856,57.9,61399040,0.0,,,,
2026-09-10T15:37:22.395366+00:00,1789054642.375686,41.7,20186894336,59.0,61456384,0.0,,,,
2026-09-10T15:37:22.915311+00:00,1789054642.9003448,25.9,20577492992,60.2,61472768,0.0,,,,
2026-09-10T15:37:23.447967+00:00,1789054643.4254372,39.2,20954820608,61.3,61489152,0.0,,,,
2026-09-10T15:37:23.970293+00:00,1789054643.9502673,30.0,17563095040,51.3,61526016,0.0,,,,
2026-09-10T15:37:24.501491+00:00,1789054644.4715638,33.2,18876825600,55.2,61816832,0.0,,,,
2026-09-10T15:37:25.025610+00:00,1789054645.005455,36.2,19034603520,55.6,61841408,0.0,,,,
2026-09-10T15:37:25.556761+00:00,1789054645.5318074,34.5,19195441152,56.1,61845504,0.0,,,,
2026-09-10T15:37:26.081936+00:00,1789054646.0606964,31.0,19357306880,56.6,61849600,0.0,,,,
2026-09-10T15:37:26.605654+00:00,1789054646.585544,38.6,19475206144,56.9,61890560,0.0,,,,
2026-09-10T15:37:27.152693+00:00,1789054647.1118157,43.3,19710070784,57.6,61906944,0.0,,,,
2026-09-10T15:37:27.682106+00:00,1789054647.6554997,34.8,19955441664,58.3,61919232,0.0,,,,
2026-09-10T15:37:28.210554+00:00,1789054648.1854875,33.3,20213411840,59.1,61943808,0.0,,,,
2026-09-10T15:37:28.735576+00:00,1789054648.7164187,34.2,20428406784,59.7,61964288,0.0,,,,
2026-09-10T15:37:29.260529+00:00,1789054649.2405236,41.5,20621451264,60.3,61984768,0.0,,,,
2026-09-10T15:37:29.790568+00:00,1789054649.7655292,43.0,20691632128,60.5,61984768,0.0,,,,
2026-09-10T15:37:30.315448+00:00,1789054650.2954504,32.4,20864925696,61.0,61992960,0.0,,,,
2026-09-10T15:37:30.840410+00:00,1789054650.8205137,28.4,21096189952,61.7,62013440,0.0,,,,
2026-09-10T15:37:31.381525+00:00,1789054651.357955,12.7,21256921088,62.1,62074880,0.0,,,,
2026-09-10T15:37:31.929026+00:00,1789054651.8942378,24.0,21417406464,62.6,62115840,0.48559580403020214,,,,
2026-09-10T15:37:32.457562+00:00,1789054652.4345615,9.5,21562482688,63.0,62144512,0.0,,,,
2026-09-10T15:37:32.985111+00:00,1789054652.9619205,10.3,21696557056,63.4,62193664,0.0,,,,
2026-09-10T15:37:33.514991+00:00,1789054653.4916627,23.3,21847388160,63.9,62210048,0.0,,,,
2026-09-10T15:37:34.040315+00:00,1789054654.0202491,39.9,22045061120,64.4,62218240,0.0,,,,
2026-09-10T15:37:34.565374+00:00,1789054654.5452602,29.9,22238547968,65.0,62242816,0.0,,,,
2026-09-10T15:37:35.103865+00:00,1789054655.0808668,26.3,22474391552,65.7,62263296,0.0,,,,
2026-09-10T15:37:35.629403+00:00,1789054655.6067054,12.4,22703067136,66.4,62267392,0.0,,,,
2026-09-10T15:37:36.157534+00:00,1789054656.135026,16.5,22868320256,66.8,62279680,0.0,,,,
2026-09-10T15:37:36.682995+00:00,1789054656.6604226,5.5,23064961024,67.4,62300160,0.0,,,,
2026-09-10T15:37:37.216171+00:00,1789054657.1874027,26.9,23279050752,68.1,62328832,0.0,,,,
2026-09-10T15:37:37.754279+00:00,1789054657.7272806,22.3,23403241472,68.4,62353408,0.0,,,,
2026-09-10T15:37:38.280384+00:00,1789054658.255386,24.6,23420203008,68.5,62382080,0.0,,,,
2026-09-10T15:37:38.826846+00:00,1789054658.790392,19.7,23568916480,68.9,62410752,0.0,,,,
2026-09-10T15:37:39.349964+00:00,1789054659.3300812,29.2,23691186176,69.3,62414848,0.0,,,,
2026-09-10T15:37:39.877410+00:00,1789054659.855012,23.5,24101294080,70.5,62447616,0.2480486080800199,,,,
2026-09-10T15:37:40.410364+00:00,1789054660.3853362,70.6,25565569024,74.7,62488576,0.0,,,,
2026-09-10T15:37:40.950290+00:00,1789054660.915406,57.5,26765201408,78.2,62496768,0.0,,,,
2026-09-10T15:37:41.475157+00:00,1789054661.455081,32.4,27004989440,78.9,62496768,0.0,,,,
2026-09-10T15:37:42.023910+00:00,1789054661.9903007,76.7,27087429632,79.2,62496768,0.24328017222050474,,,,
2026-09-10T15:37:42.545118+00:00,1789054662.5250711,62.0,27022016512,79.0,71634944,0.7304535463822843,,,,
2026-09-10T15:37:43.075253+00:00,1789054663.0502431,53.4,26955522048,78.8,71634944,0.0,,,,
2026-09-10T15:37:43.605188+00:00,1789054663.580089,42.4,26945318912,78.8,71634944,0.0,,,,
2026-09-10T15:37:44.135138+00:00,1789054664.1071584,45.5,26928320512,78.7,71634944,0.0,,,,
2026-09-10T15:37:44.665122+00:00,1789054664.6401649,44.4,26928775168,78.7,71634944,0.0,,,,
2026-09-10T15:37:45.195417+00:00,1789054665.170304,52.7,26953146368,78.8,71634944,0.0,,,,
2026-09-10T15:37:45.727373+00:00,1789054665.700321,51.7,26971926528,78.8,71663616,0.0,,,,
2026-09-10T15:37:46.254690+00:00,1789054666.2299943,39.6,26983305216,78.9,71663616,0.0,,,,
2026-09-10T15:37:46.780018+00:00,1789054666.755149,31.6,26981335040,78.9,71663616,0.0,,,,
2026-09-10T15:37:47.310106+00:00,1789054667.28498,42.7,27020759040,79.0,71663616,0.0,,,,
2026-09-10T15:37:47.839670+00:00,1789054667.8149676,30.3,27020435456,79.0,71663616,0.0,,,,
2026-09-10T15:37:48.366151+00:00,1789054668.3409944,41.2,27030863872,79.0,71663616,0.0,,,,
2026-09-10T15:37:48.895384+00:00,1789054668.8702598,50.5,27031691264,79.0,71663616,0.0,,,,
2026-09-10T15:37:49.455906+00:00,1789054669.4053335,52.4,26981101568,78.9,71663616,0.0,,,,
2026-09-10T15:37:50.011542+00:00,1789054669.9628215,85.1,26981756928,78.9,71663616,0.0,,,,
2026-09-10T15:37:50.557184+00:00,1789054670.5176628,64.9,26996899840,78.9,71663616,0.0,,,,
2026-09-10T15:37:51.101860+00:00,1789054671.0604067,64.5,27014864896,79.0,71671808,0.0,,,,
2026-09-10T15:37:51.642948+00:00,1789054671.6165414,67.3,27014107136,79.0,71680000,0.2341309275465954,,,,
2026-09-10T15:37:52.174669+00:00,1789054672.144761,76.9,27032403968,79.0,71680000,0.0,,,,
2026-09-10T15:37:52.733439+00:00,1789054672.6798563,84.0,27038027776,79.0,71688192,0.0,,,,
2026-09-10T15:37:53.269638+00:00,1789054673.2398822,78.7,27013140480,79.0,71688192,0.23250411501347357,,,,
2026-09-10T15:37:53.800068+00:00,1789054673.7747018,74.4,27006423040,78.9,71688192,0.0,,,,
2026-09-10T15:37:54.329646+00:00,1789054674.3046248,76.4,26991939584,78.9,71688192,0.0,,,,
2026-09-10T15:37:54.869871+00:00,1789054674.840068,77.0,27012730880,79.0,71688192,0.4863571245797363,,,,
2026-09-10T15:37:55.399976+00:00,1789054675.3748434,79.9,27030503424,79.0,71688192,0.0,,,,
2026-09-10T15:37:55.939461+00:00,1789054675.9049141,76.5,26913542144,78.7,71688192,0.0,,,,
2026-09-10T15:37:56.466014+00:00,1789054676.4403565,71.0,26925252608,78.7,71688192,0.2431789954142711,,,,
2026-09-10T15:37:57.006168+00:00,1789054676.9808862,71.1,26926407680,78.7,71688192,0.0,,,,
2026-09-10T15:37:57.538507+00:00,1789054677.5116212,73.8,26968424448,78.8,71688192,0.0,,,,
2026-09-10T15:37:58.072898+00:00,1789054678.0443652,61.7,26974752768,78.9,71708672,0.0,,,,
2026-09-10T15:37:58.626290+00:00,1789054678.58655,60.8,26975612928,78.9,71708672,0.0,,,,
2026-09-10T15:37:59.177299+00:00,1789054679.1327806,70.6,26962317312,78.8,71708672,0.0,,,,
2026-09-10T15:37:59.729578+00:00,1789054679.687577,64.5,26915504128,78.7,71708672,0.0,,,,
2026-09-10T15:38:00.281138+00:00,1789054680.243033,56.7,26931609600,78.7,71663616,0.0,,,,
2026-09-10T15:38:00.822388+00:00,1789054680.7877722,59.5,26955939840,78.8,71671808,0.0,,,,
2026-09-10T15:38:01.349677+00:00,1789054681.3247466,66.6,26923081728,78.7,71671808,0.0,,,,
2026-09-10T15:38:01.900193+00:00,1789054681.8528423,77.2,26958348288,78.8,71671808,0.49312398438400584,,,,
2026-09-10T15:38:02.450448+00:00,1789054682.4052205,75.9,26945851392,78.8,71671808,0.23572316685096925,,,,
2026-09-10T15:38:02.997541+00:00,1789054682.955318,70.1,26947284992,78.8,71671808,0.0,,,,
2026-09-10T15:38:03.526508+00:00,1789054683.501509,56.8,26959618048,78.8,71671808,0.0,,,,
2026-09-10T15:38:04.058599+00:00,1789054684.0296042,67.5,26944036864,78.8,71671808,0.0,,,,
2026-09-10T15:38:04.599309+00:00,1789054684.5743086,44.7,27003371520,78.9,72261632,0.2390440107102922,,,,
2026-09-10T15:38:05.125671+00:00,1789054685.10005,27.1,27007881216,79.0,72261632,0.0,,,,
2026-09-10T15:38:05.650061+00:00,1789054685.629429,31.1,27006140416,78.9,72261632,0.0,,,,
2026-09-10T15:38:06.174240+00:00,1789054686.154221,35.8,27022782464,79.0,72261632,0.0,,,,
2026-09-10T15:38:06.699221+00:00,1789054686.6793494,27.7,27022303232,79.0,72261632,0.0,,,,
2026-09-10T15:38:07.236420+00:00,1789054687.2143984,32.3,27047870464,79.1,72261632,0.0,,,,
2026-09-10T15:38:07.764066+00:00,1789054687.7430627,9.8,27057586176,79.1,72261632,0.0,,,,
2026-09-10T15:38:08.289589+00:00,1789054688.270045,6.5,27063885824,79.1,72261632,0.0,,,,
2026-09-10T15:38:08.815975+00:00,1789054688.7949793,4.3,27063238656,79.1,72261632,0.0,,,,
2026-09-10T15:38:09.343828+00:00,1789054689.3218286,20.2,27011874816,79.0,72261632,0.0,,,,
2026-09-10T15:38:09.896565+00:00,1789054689.8516705,57.3,27028041728,79.0,72286208,0.0,,,,
2026-09-10T15:38:10.446826+00:00,1789054690.4068289,72.6,27012497408,79.0,72286208,0.0,,,,
2026-09-10T15:38:10.982384+00:00,1789054690.9537444,61.8,27029192704,79.0,72294400,0.0,,,,
2026-09-10T15:38:11.532867+00:00,1789054691.496351,69.3,27098546176,79.2,72294400,0.0,,,,
2026-09-10T15:38:12.099005+00:00,1789054692.0528262,89.6,27098714112,79.2,72294400,0.0,,,,
2026-09-10T15:38:12.640909+00:00,1789054692.608527,70.8,27114582016,79.3,72294400,0.0,,,,
2026-09-10T15:38:13.179204+00:00,1789054693.145671,84.2,27123441664,79.3,72294400,0.24240863995052403,,,,
2026-09-10T15:38:13.724117+00:00,1789054693.6944838,87.2,27108466688,79.2,72294400,0.0,,,,
2026-09-10T15:38:14.269163+00:00,1789054694.224412,86.5,27075768320,79.1,72294400,0.7371281516007703,,,,
2026-09-10T15:38:14.804126+00:00,1789054694.774118,87.8,27109322752,79.2,72294400,0.0,,,,
2026-09-10T15:38:15.334140+00:00,1789054695.3045628,85.8,27088121856,79.2,72294400,0.24547006303504615,,,,
2026-09-10T15:38:15.864607+00:00,1789054695.8390853,84.8,27127738368,79.3,72294400,0.0,,,,
2026-09-10T15:38:16.395672+00:00,1789054696.370009,80.0,27091202048,79.2,72294400,0.2452487177357005,,,,
2026-09-10T15:38:16.930766+00:00,1789054696.8996885,73.8,27105943552,79.2,72294400,0.0,,,,
2026-09-10T15:38:17.494068+00:00,1789054697.434022,82.7,27137839104,79.3,72310784,0.0,,,,
2026-09-10T15:38:18.043467+00:00,1789054698.002458,81.8,27096485888,79.2,72318976,0.0,,,,
2026-09-10T15:38:18.591821+00:00,1789054698.5453002,80.1,27113172992,79.3,72318976,0.0,,,,
2026-09-10T15:38:19.150657+00:00,1789054699.0953465,78.3,27109748736,79.2,72351744,0.0,,,,
2026-09-10T15:38:19.733049+00:00,1789054699.6544628,95.1,27084673024,79.2,72351744,0.0,,,,
2026-09-10T15:38:20.285147+00:00,1789054700.2343113,87.7,27063635968,79.1,72359936,0.0,,,,
2026-09-10T15:38:20.819340+00:00,1789054700.7894924,86.5,27079589888,79.2,72359936,0.0,,,,
2026-09-10T15:38:21.363972+00:00,1789054701.3245807,86.9,27067629568,79.1,72368128,0.24333989953020727,,,,
2026-09-10T15:38:21.914687+00:00,1789054701.8658621,82.9,27108118528,79.2,72368128,0.4811113719675984,,,,
2026-09-10T15:38:22.449314+00:00,1789054702.4193456,82.9,27093282816,79.2,72368128,0.0,,,,
2026-09-10T15:38:23.010120+00:00,1789054702.952688,94.0,27113467904,79.3,72368128,0.24413649232603188,,,,
2026-09-10T15:38:23.570294+00:00,1789054703.5249605,82.7,27107516416,79.2,72368128,0.0,,,,
2026-09-10T15:38:24.103924+00:00,1789054704.0739589,90.8,27071893504,79.1,72368128,0.0,,,,
2026-09-10T15:38:24.658841+00:00,1789054704.6140964,86.0,27086675968,79.2,72376320,0.0,,,,
2026-09-10T15:38:25.197954+00:00,1789054705.166023,65.5,27139637248,79.3,72929280,0.0,,,,
2026-09-10T15:38:25.736017+00:00,1789054705.7090116,28.2,27140055040,79.3,72929280,0.0,,,,
2026-09-10T15:38:26.267286+00:00,1789054706.2372866,26.8,27126054912,79.3,72929280,0.0,,,,
2026-09-10T15:38:26.791842+00:00,1789054706.7708423,21.7,27138715648,79.3,72929280,0.0,,,,
2026-09-10T15:38:27.322995+00:00,1789054707.3012624,31.0,27154096128,79.4,72929280,0.0,,,,
2026-09-10T15:38:27.847810+00:00,1789054707.823811,10.7,27165638656,79.4,72929280,0.0,,,,
2026-09-10T15:38:28.371550+00:00,1789054708.3495536,17.8,27167272960,79.4,72929280,0.0,,,,
2026-09-10T15:38:28.896381+00:00,1789054708.8748152,6.9,27160723456,79.4,72929280,0.0,,,,
2026-09-10T15:38:29.435650+00:00,1789054709.412648,14.2,27120685056,79.3,72929280,0.0,,,,
2026-09-10T15:38:29.964696+00:00,1789054709.9431822,27.3,27102179328,79.2,72929280,0.0,,,,
2026-09-10T15:38:30.517114+00:00,1789054710.4653897,46.6,27107393536,79.2,72929280,0.0,,,,
2026-09-10T15:38:31.070834+00:00,1789054711.025687,61.5,27127029760,79.3,72937472,0.0,,,,
2026-09-10T15:38:31.607752+00:00,1789054711.5828598,61.0,27113701376,79.3,72937472,0.0,,,,
2026-09-10T15:38:32.156806+00:00,1789054712.1232443,71.9,27145678848,79.4,72937472,0.0,,,,
2026-09-10T15:38:32.708806+00:00,1789054712.66328,71.8,27149488128,79.4,72937472,0.0,,,,
2026-09-10T15:38:33.254551+00:00,1789054713.2145007,73.3,27154178048,79.4,72945664,0.0,,,,
2026-09-10T15:38:33.804551+00:00,1789054713.75967,72.0,27154026496,79.4,72945664,0.238840155817545,,,,
2026-09-10T15:38:34.334457+00:00,1789054714.3088763,77.0,27131555840,79.3,72945664,0.0,,,,
2026-09-10T15:38:34.866996+00:00,1789054714.8390725,78.6,27134296064,79.3,72945664,0.0,,,,
2026-09-10T15:38:35.409065+00:00,1789054715.369418,79.9,27137208320,79.3,72945664,0.0,,,,
2026-09-10T15:38:35.949557+00:00,1789054715.9095485,71.2,27137179648,79.3,72945664,0.0,,,,
2026-09-10T15:38:36.494330+00:00,1789054716.454723,79.0,27140485120,79.3,72945664,0.0,,,,
2026-09-10T15:38:37.040533+00:00,1789054716.9987185,74.9,27158872064,79.4,72945664,0.0,,,,
2026-09-10T15:38:37.568603+00:00,1789054717.5442057,85.1,27197394944,79.5,72945664,0.0,,,,
2026-09-10T15:38:38.118667+00:00,1789054718.0737498,86.4,27214614528,79.6,72945664,0.0,,,,
2026-09-10T15:38:38.699162+00:00,1789054718.6347935,90.4,27190140928,79.5,72945664,0.2320823212311695,,,,
