channel_id,spacecraft,train_points,test_points,metadata_num_values,length_matches_metadata,labeled_events,event_hits,event_recall,raw_predicted_points,predicted_points,max_score,scale,scale_source,precision,recall,f1,true_positives,false_positives,false_negatives
T-5,MSL,2272,2218,2218,True,1,1,1.0,5,5,1999999999.9999998,1e-09,epsilon-floor,1.0,0.19230769230769232,0.32258064516129037,5,0,21
F-7,MSL,2511,5054,5054,True,3,3,1.0,965,731,10.213857142857142,0.18532246108228317,"robust-max(mad,iqr)",0.23803009575923392,0.41134751773049644,0.30155979202772965,174,557,249
M-3,MSL,2037,2127,2127,True,1,1,1.0,226,222,4.16166164639374,0.5825181739719255,"robust-max(mad,iqr)",0.32432432432432434,0.2868525896414343,0.3044397463002114,72,150,179
M-4,MSL,2076,2038,2038,True,1,1,1.0,298,295,6.573084360916005,0.35469186226624755,"robust-max(mad,iqr)",0.36610169491525424,0.4302788844621514,0.3956043956043956,108,187,143
M-5,MSL,2032,2303,2303,True,1,0,0.0,0,0,2.6367798740453305,0.7946008374021131,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,301
P-15,MSL,3682,2856,2856,True,1,1,1.0,1551,1542,49.9007464905033,0.039047498977059024,"robust-max(mad,iqr)",0.009079118028534372,0.6666666666666666,0.017914267434420986,14,1528,7
C-1,MSL,2158,2264,2264,True,2,1,0.5,61,61,5.649844086021507,0.3226518979217285,"robust-max(mad,iqr)",0.5245901639344263,0.10256410256410256,0.17158176943699732,32,29,280
C-2,MSL,764,2051,2051,True,2,2,1.0,1583,1579,1999999999.9999998,1e-09,epsilon-floor,0.08043065231158962,0.927007299270073,0.14801864801864806,127,1452,10
T-12,MSL,1145,2430,2430,True,1,0,0.0,0,0,2.9203581039755346,0.39762440696432466,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,121
T-13,MSL,1145,2430,2430,True,2,0,0.0,0,0,1.5704714778390376,0.7968078088041477,"robust-max(mad,iqr)",0.0,0.0,0.0,0,0,252
F-4,MSL,2244,3422,3422,True,1,1,1.0,211,211,5.523397488338715,0.39783839710096136,"robust-max(mad,iqr)",0.12796208530805686,0.38028169014084506,0.19148936170212763,27,184,44
F-5,MSL,2598,3922,3922,True,1,1,1.0,716,716,28.200180611027534,0.26773814884074626,"robust-max(mad,iqr)",0.11731843575418995,0.5562913907284768,0.19377162629757783,84,632,67
D-14,MSL,3675,2625,2625,True,2,2,1.0,186,186,1999999999.9999998,1e-09,epsilon-floor,1.0,0.8378378378378378,0.911764705882353,186,0,36
T-9,MSL,439,1096,1096,True,2,2,1.0,24,9,6.596492757325905,0.20212829659418824,std-fallback,0.6666666666666666,0.05357142857142857,0.09917355371900825,6,3,106
P-14,MSL,2880,6100,6100,True,1,1,1.0,6100,6100,20807.939571434825,9.60931279685624e-05,"robust-max(mad,iqr)",0.029672131147540984,1.0,0.05763413469192804,181,5919,0
T-8,MSL,748,1519,1519,True,2,0,0.0,25,0,10.802744649149142,0.18695321501432743,std-fallback,0.0,0.0,0.0,0,0,102
P-11,MSL,3969,3535,3535,True,2,1,0.5,70,42,14.733593910491583,0.128436528149567,"robust-max(mad,iqr)",1.0,0.18421052631578946,0.3111111111111111,42,0,186
D-15,MSL,2074,2158,2158,True,1,1,1.0,295,51,18.768249326597093,0.10634104581212424,"robust-max(mad,iqr)",0.19607843137254902,0.015600624024960999,0.028901734104046242,10,41,631
D-16,MSL,1451,2191,2191,True,1,1,1.0,1176,1023,81.61449999999999,0.024505449399310174,"robust-max(mad,iqr)",0.4232649071358749,0.6651305683563749,0.5173237753882916,433,590,218
M-7,MSL,1587,2156,2156,True,1,1,1.0,56,56,17.06147880530448,0.11717017047063638,std-fallback,0.8928571428571429,0.49504950495049505,0.6369426751592357,50,6,51
F-8,MSL,3342,2487,2487,True,1,1,1.0,258,129,35.74850000000002,0.0644599864634028,"robust-max(mad,iqr)",0.5426356589147286,0.1303538175046555,0.21021021021021022,70,59,467
