profile_id,one_way_delay_s,outage,scenario_id,seed,fault_id,measured_compute_latency_s,local_decision_latency_s,ground_decision_latency_s,ground_available,local_within_30s,ground_within_30s,local_within_60s,ground_within_60s,local_within_600s,ground_within_600s,local_within_1800s,ground_within_1800s,local_within_3600s,ground_within_3600s
mars_near_reference,240.0,False,star_tracker_dropout-seed-2202,2202,star_tracker_dropout,15.374587799888104,15.374587799888104,495.3745877998881,True,True,False,True,False,True,True,True,True,True,True
mars_near_reference,240.0,False,transmitter_power_anomaly-seed-2202,2202,transmitter_power_anomaly,23.584783700061962,23.584783700061962,503.58478370006196,True,True,False,True,False,True,True,True,True,True,True
mars_near_reference,240.0,False,sensor_stuck_value-seed-2202,2202,sensor_stuck_value,26.94680909998715,26.94680909998715,506.94680909998715,True,True,False,True,False,True,True,True,True,True,True
mars_far_reference,1440.0,False,battery_undervoltage-seed-2201,2201,battery_undervoltage,31.591410900000483,31.591410900000483,2911.5914109000005,True,False,False,True,False,True,False,True,False,True,True
mars_far_reference,1440.0,False,thermal_overtemperature-seed-2201,2201,thermal_overtemperature,27.875419999938458,27.875419999938458,2907.8754199999385,True,True,False,True,False,True,False,True,False,True,True
mars_far_reference,1440.0,False,reaction_wheel_saturation-seed-2201,2201,reaction_wheel_saturation,31.553927599918097,31.553927599918097,2911.553927599918,True,False,False,True,False,True,False,True,False,True,True
mars_far_reference,1440.0,False,star_tracker_dropout-seed-2201,2201,star_tracker_dropout,23.877539200009778,23.877539200009778,2903.87753920001,True,True,False,True,False,True,False,True,False,True,True
mars_far_reference,1440.0,False,transmitter_power_anomaly-seed-2201,2201,transmitter_power_anomaly,26.178080699872226,26.178080699872226,2906.178080699872,True,True,False,True,False,True,False,True,False,True,True
mars_far_reference,1440.0,False,sensor_stuck_value-seed-2201,2201,sensor_stuck_value,28.545968500198796,28.545968500198796,2908.545968500199,True,True,False,True,False,True,False,True,False,True,True
mars_far_reference,1440.0,False,battery_undervoltage-seed-2202,2202,battery_undervoltage,31.229539199965075,31.229539199965075,2911.229539199965,True,False,False,True,False,True,False,True,False,True,True
mars_far_reference,1440.0,False,thermal_overtemperature-seed-2202,2202,thermal_overtemperature,27.94708999991417,27.94708999991417,2907.947089999914,True,True,False,True,False,True,False,True,False,True,True
mars_far_reference,1440.0,False,reaction_wheel_saturation-seed-2202,2202,reaction_wheel_saturation,31.200345699908212,31.200345699908212,2911.200345699908,True,False,False,True,False,True,False,True,False,True,True
mars_far_reference,1440.0,False,star_tracker_dropout-seed-2202,2202,star_tracker_dropout,15.374587799888104,15.374587799888104,2895.374587799888,True,True,False,True,False,True,False,True,False,True,True
mars_far_reference,1440.0,False,transmitter_power_anomaly-seed-2202,2202,transmitter_power_anomaly,23.584783700061962,23.584783700061962,2903.584783700062,True,True,False,True,False,True,False,True,False,True,True
mars_far_reference,1440.0,False,sensor_stuck_value-seed-2202,2202,sensor_stuck_value,26.94680909998715,26.94680909998715,2906.946809099987,True,True,False,True,False,True,False,True,False,True,True
ground_link_outage,0.0,True,battery_undervoltage-seed-2201,2201,battery_undervoltage,31.591410900000483,31.591410900000483,,False,False,False,True,False,True,False,True,False,True,False
ground_link_outage,0.0,True,thermal_overtemperature-seed-2201,2201,thermal_overtemperature,27.875419999938458,27.875419999938458,,False,True,False,True,False,True,False,True,False,True,False
ground_link_outage,0.0,True,reaction_wheel_saturation-seed-2201,2201,reaction_wheel_saturation,31.553927599918097,31.553927599918097,,False,False,False,True,False,True,False,True,False,True,False
ground_link_outage,0.0,True,star_tracker_dropout-seed-2201,2201,star_tracker_dropout,23.877539200009778,23.877539200009778,,False,True,False,True,False,True,False,True,False,True,False
ground_link_outage,0.0,True,transmitter_power_anomaly-seed-2201,2201,transmitter_power_anomaly,26.178080699872226,26.178080699872226,,False,True,False,True,False,True,False,True,False,True,False
ground_link_outage,0.0,True,sensor_stuck_value-seed-2201,2201,sensor_stuck_value,28.545968500198796,28.545968500198796,,False,True,False,True,False,True,False,True,False,True,False
ground_link_outage,0.0,True,battery_undervoltage-seed-2202,2202,battery_undervoltage,31.229539199965075,31.229539199965075,,False,False,False,True,False,True,False,True,False,True,False
ground_link_outage,0.0,True,thermal_overtemperature-seed-2202,2202,thermal_overtemperature,27.94708999991417,27.94708999991417,,False,True,False,True,False,True,False,True,False,True,False
ground_link_outage,0.0,True,reaction_wheel_saturation-seed-2202,2202,reaction_wheel_saturation,31.200345699908212,31.200345699908212,,False,False,False,True,False,True,False,True,False,True,False
ground_link_outage,0.0,True,star_tracker_dropout-seed-2202,2202,star_tracker_dropout,15.374587799888104,15.374587799888104,,False,True,False,True,False,True,False,True,False,True,False
ground_link_outage,0.0,True,transmitter_power_anomaly-seed-2202,2202,transmitter_power_anomaly,23.584783700061962,23.584783700061962,,False,True,False,True,False,True,False,True,False,True,False
ground_link_outage,0.0,True,sensor_stuck_value-seed-2202,2202,sensor_stuck_value,26.94680909998715,26.94680909998715,,False,True,False,True,False,True,False,True,False,True,False
